Filename	BLEU-1	BLEU-2
save/gen_val_64/val_75_3.475940.txt    	0.9693380376344122	0.6896572938882267
save/gen_val_64/val_90_3.450018.txt    	0.9711021505376373	0.7003875524566453
save/gen_val_64/val_70_3.483227.txt    	0.9709761424731206	0.6960474901328172
save/gen_val_64/val_55_3.483881.txt    	0.9703881048387131	0.6971384532644194
save/gen_val_64/val_95_3.466199.txt    	0.9712281586021547	0.6945893922303724
save/gen_val_64/val_40_3.438812.txt    	0.9661458333333356	0.6922430706777584
save/gen_val_64/val_50_3.423285.txt    	0.9726142473118304	0.7001565783327928
save/gen_val_64/val_5_3.435450.txt	    0.9718161962365609	0.6960639752613406
save/gen_val_64/val_10_3.445566.txt    	0.9689180107526902	0.6909334702840106
save/gen_val_64/val_60_3.442529.txt    	0.9722782258064547	0.6960335572233144
save/gen_val_64/val_100_3.566837.txt	0.970934139784949	0.6993959993376785
save/gen_val_64/val_5_5.476915.txt	    0.9241431451612917	0.6518269197100431
save/gen_val_64/val_30_3.424991.txt    	0.9726142473118307	0.6943123308175446
save/gen_val_64/val_99_3.539966.txt    	0.9682879704301104	0.69224943213013
save/gen_val_64/val_45_3.486528.txt    	0.9698000672043033	0.6909097982794742
save/gen_val_64/val_65_3.483288.txt    	0.9713961693548404	0.6973306670072922
save/gen_val_64/val_80_3.506256.txt    	0.9708921370967775	0.6885485297405661
save/gen_val_64/val_35_3.437489.txt    	0.9642977150537665	0.691053544601567
save/gen_val_64/val_25_3.433065.txt    	0.9694640456989275	0.6913740566919517
save/gen_val_64/val_10_5.454930.txt    	0.9125924059139787	0.6402938760009074
save/gen_val_64/val_85_3.480052.txt    	0.9694640456989282	0.684753937609521
save/gen_val_64/val_20_3.444262.txt    	0.969590053763444	0.6919195384619485
save/gen_val_64/val_15_3.433340.txt    	0.9696740591397875	0.6947638061375441
save/gen_val_64/val_final.txt           0.9714583333333363  0.7035234654790093
Average 				0.9658089017697161	0.6902294473232032
